# x1,y1,x2,y2
1.591518386714116104e+02,9.205456702253854928e+01,6.275042735042734421e+01,2.807487179487179674e+02
1.588175438596491347e+02,9.179064327485379238e+01,6.258833333333333115e+01,2.805450000000000159e+02
1.583150537634408579e+02,9.147956989247310844e+01,6.249069373942469952e+01,2.803384094754653120e+02
1.576918671248567989e+02,9.074226804123711076e+01,6.239487179487179702e+01,2.801897435897436139e+02
1.573061224489795791e+02,9.032426303854875016e+01,6.239896373056994605e+01,2.800552677029360780e+02
1.568985042735042441e+02,9.004594017094017033e+01,6.224915824915824203e+01,2.801919191919191690e+02
1.562332195676905542e+02,8.944027303754266711e+01,6.184589614740367836e+01,2.800502512562813990e+02
1.556248587570621282e+02,8.914576271186440692e+01,6.187434554973822287e+01,2.800418848167539068e+02
1.553421052631578902e+02,8.934649122807017818e+01,6.190524534686970526e+01,2.802165820642977678e+02
1.546771196283391134e+02,8.882346109175377080e+01,6.213366336633663423e+01,2.797508250825082428e+02
1.545103148751357196e+02,8.937785016286645146e+01,6.185811965811965507e+01,2.796974358974359234e+02
1.544871794871794748e+02,8.960149572649571326e+01,6.185737976782752412e+01,2.797645107794361365e+02
1.547244008714596930e+02,9.009912854030500284e+01,6.162376237623762165e+01,2.798778877887788781e+02
1.546379690949227381e+02,8.968763796909490793e+01,6.216129032258064768e+01,2.797831541218637881e+02
1.548210633946830228e+02,9.038957055214723368e+01,6.204255319148936110e+01,2.799450354609928695e+02
1.534137191854233606e+02,9.115648445873524963e+01,6.253499999999999659e+01,2.798533333333332962e+02
1.516008771929824377e+02,9.266228070175438347e+01,6.270331588132634693e+01,2.798743455497382229e+02
1.500841423948220097e+02,9.396763754045306882e+01,6.270017636684302431e+01,2.798359788359788354e+02
1.484738015607580621e+02,9.528874024526197672e+01,6.335688405797100842e+01,2.794746376811593791e+02
1.469732441471572031e+02,9.653288740245261579e+01,6.363903281519861110e+01,2.795371329879101836e+02
1.455375275938189645e+02,9.771192052980131848e+01,6.363844797178130364e+01,2.795396825396825307e+02
1.437404921700223497e+02,9.880201342281878851e+01,6.385910652920961894e+01,2.793298969072164937e+02
1.426445182724252447e+02,9.957585825027685189e+01,6.390226876090749641e+01,2.792582897033158815e+02
1.407874720357941669e+02,1.006129753914988783e+02,6.385087719298245190e+01,2.786614035087719117e+02
1.396600660066006583e+02,1.012761276127612717e+02,6.339285714285714590e+01,2.789710884353740994e+02
1.386366559485530559e+02,1.018435155412647362e+02,6.344091710758376479e+01,2.788730158730158450e+02
1.373464912280701640e+02,1.026074561403508625e+02,6.321578947368421098e+01,2.789403508771929978e+02
1.365562770562770538e+02,1.032748917748917705e+02,6.321578947368421098e+01,2.789403508771929978e+02
1.356096491228070136e+02,1.041217105263157947e+02,6.363768115942028203e+01,2.786286231884058111e+02
1.348622222222222149e+02,1.050999999999999943e+02,6.365070921985815033e+01,2.786737588652482032e+02
1.344353070175438347e+02,1.058486842105263150e+02,6.365798611111110716e+01,2.786805555555555429e+02
1.336453674121405868e+02,1.063972310969115966e+02,6.372280701754385035e+01,2.786561403508771946e+02
1.331962719298245474e+02,1.073114035087719174e+02,6.372280701754385035e+01,2.786561403508771946e+02
1.322727272727272805e+02,1.080415263748596999e+02,6.352040816326530859e+01,2.787687074829931930e+02
1.324410774410774536e+02,1.084691358024691255e+02,6.364902998236330944e+01,2.785714285714285552e+02
1.326677704194260343e+02,1.087880794701986815e+02,6.390235690235689958e+01,2.783956228956228642e+02
1.325639344262295083e+02,1.091486338797814000e+02,6.404553734061930470e+01,2.781511839708560956e+02
1.322659817351598122e+02,1.096860730593607229e+02,6.408152173913043725e+01,2.781431159420289418e+02
1.314608501118568142e+02,1.104619686800894840e+02,6.473298429319372360e+01,2.777731239092495343e+02
1.315056689342403615e+02,1.107244897959183731e+02,6.458333333333332860e+01,2.776388888888888573e+02
1.306643678160919535e+02,1.115977011494252764e+02,6.478645833333332860e+01,2.774947916666666856e+02
1.298106575963718683e+02,1.123435374149659793e+02,6.491624790619765406e+01,2.769279731993299833e+02
1.279593495934959151e+02,1.133786295005807148e+02,6.480612244897959329e+01,2.766802721088434964e+02
1.269988545246277170e+02,1.139702176403207119e+02,6.485514834205933710e+01,2.767155322862129196e+02
1.256103286384976343e+02,1.147934272300469445e+02,6.435205992509362716e+01,2.766704119850186885e+02
1.240657748049052316e+02,1.158216276477145925e+02,6.443369175627239542e+01,2.762598566308243448e+02
1.230928961748633697e+02,1.166426229508196712e+02,6.410427350427349324e+01,2.762205128205127949e+02
1.223592233009708679e+02,1.172578209277238273e+02,6.415412186379927562e+01,2.758655913978494709e+02
1.208199767711962664e+02,1.184146341463414700e+02,6.396791443850267456e+01,2.758805704099821696e+02
1.198571428571428612e+02,1.201760797342192717e+02,6.393297101449275033e+01,2.759528985507246261e+02
1.198488745980707364e+02,1.215198285101821938e+02,6.398941798941798709e+01,2.758765432098765586e+02
1.193311331133113100e+02,1.242673267326732685e+02,6.398941798941798709e+01,2.758765432098765586e+02
1.183184931506849296e+02,1.272442922374429060e+02,6.410708117443869014e+01,2.756994818652849517e+02
1.179323843416370039e+02,1.297734282325029369e+02,6.426876090750435822e+01,2.753176265270506065e+02
1.179169472502805718e+02,1.317643097643097576e+02,6.410829103214889813e+01,2.754653130287647969e+02
1.177397260273972535e+02,1.342796803652967981e+02,6.416086235489220257e+01,2.753134328358208904e+02
1.180557451649601717e+02,1.360170648464163889e+02,6.416086235489220257e+01,2.753134328358208904e+02
1.180691192865105847e+02,1.381739130434782510e+02,6.416086235489220257e+01,2.753134328358208904e+02
1.182433679354094380e+02,1.398373702422145470e+02,6.424242424242424931e+01,2.750488215488215360e+02
1.181048951048951068e+02,1.419463869463869514e+02,6.431770833333332860e+01,2.749982638888888573e+02
1.182027972027971998e+02,1.437086247086247113e+02,6.430418943533697984e+01,2.749344262295081762e+02
1.181514084507042242e+02,1.455152582159624330e+02,6.436363636363635976e+01,2.749126559714794666e+02
1.181575342465753380e+02,1.464783105022831080e+02,6.434929078014184256e+01,2.749432624113475185e+02
1.175776255707762488e+02,1.483162100456620749e+02,6.424358974358973740e+01,2.747106227106226584e+02
1.172615039281705833e+02,1.492154882154882216e+02,6.458894645941278156e+01,2.738739205526770206e+02
1.168593576965669882e+02,1.502259136212624639e+02,6.437862318840579690e+01,2.739347826086956275e+02
1.161530054644808700e+02,1.516754098360655689e+02,6.425614035087718889e+01,2.738052631578947285e+02
1.159211111111110881e+02,1.528777777777777658e+02,6.413917525773196360e+01,2.738608247422680506e+02
1.155964912280701782e+02,1.543052631578947285e+02,6.431937172774868827e+01,2.739092495636998024e+02
1.157438596491228111e+02,1.550947368421052772e+02,6.423132969034607243e+01,2.739617486338797789e+02
1.157128378378378386e+02,1.569132882882882711e+02,6.419503546099289792e+01,2.740709219858155734e+02
1.164097452934662016e+02,1.575348837209302246e+02,6.421505376344086358e+01,2.739175627240143172e+02
1.167328918322295692e+02,1.588984547461368493e+02,6.426324786324785521e+01,2.739487179487179560e+02
1.168275462962962763e+02,1.603726851851851620e+02,6.499319727891156617e+01,2.737465986394557831e+02
1.173513513513513544e+02,1.612680180180180116e+02,6.528546099290780091e+01,2.736648936170212778e+02
1.175000000000000000e+02,1.621921296296296191e+02,6.528546099290780091e+01,2.736648936170212778e+02
1.175388127853881173e+02,1.631598173515981784e+02,6.525370370370370665e+01,2.736166666666666742e+02
1.177224118316268431e+02,1.637576791808873793e+02,6.525370370370370665e+01,2.736166666666666742e+02
1.177196702002355693e+02,1.648515901060070803e+02,6.533703703703703525e+01,2.733462962962962592e+02
1.177019340159271792e+02,1.653629124004550590e+02,6.490104166666667140e+01,2.736666666666666856e+02
1.176405005688282017e+02,1.660307167235494887e+02,6.490104166666667140e+01,2.736666666666666856e+02
1.176814562002275295e+02,1.660648464163822666e+02,6.490104166666667140e+01,2.736666666666666856e+02
1.174272930648769346e+02,1.668378076062639650e+02,6.479687500000000000e+01,2.733350694444444002e+02
1.168555176336746229e+02,1.681433447098976046e+02,6.472282608695651618e+01,2.729800724637680673e+02
1.168223760092272130e+02,1.682156862745097783e+02,6.451630434782609314e+01,2.728351449275361915e+02
1.163343982960596321e+02,1.687156549520766760e+02,6.421863799283153185e+01,2.728996415770608905e+02
1.160193548387096740e+02,1.688086021505376380e+02,6.421863799283153185e+01,2.728996415770608905e+02
1.157481940144478756e+02,1.691733746130030909e+02,6.405208333333332860e+01,2.726215277777777715e+02
1.153129251700680271e+02,1.704716553287981640e+02,6.403763440860214473e+01,2.722921146953405014e+02
1.153256578947368354e+02,1.710537280701754241e+02,6.391847826086956275e+01,2.723315217391304373e+02
1.155071507150715036e+02,1.717524752475247567e+02,6.391847826086956275e+01,2.723315217391304373e+02
1.159456869009584636e+02,1.721565495207667595e+02,6.385739750445632268e+01,2.724884135472370303e+02
1.165767543859648896e+02,1.724100877192982466e+02,6.393153153153152601e+01,2.724126126126125769e+02
1.167447045707915123e+02,1.733846153846153868e+02,6.458558558558557650e+01,2.725405405405405190e+02
1.173543743078626704e+02,1.734518272425249279e+02,6.481929824561403564e+01,2.723964912280701469e+02
1.174978070175438489e+02,1.744232456140350678e+02,6.481914893617020823e+01,2.724024822695035368e+02
1.175169398907103755e+02,1.749508196721311606e+02,6.477117117117116152e+01,2.723567567567567380e+02
1.178202614379084991e+02,1.747102396514161171e+02,6.473083778966132229e+01,2.724224598930481420e+02
1.174371395617070135e+02,1.756908881199538541e+02,6.491985428051000895e+01,2.719380692167577536e+02
1.175000000000000000e+02,1.756315192743764158e+02,6.463508771929824093e+01,2.718561403508771832e+02
1.174246575342465775e+02,1.757522831050228262e+02,6.463508771929824093e+01,2.718561403508771832e+02
1.173401592718998785e+02,1.758293515358361674e+02,6.463508771929824093e+01,2.718561403508771832e+02
1.169557823129251659e+02,1.763866213151927411e+02,6.463888888888888573e+01,2.718940972222222285e+02
1.167243367935409282e+02,1.766193771626297462e+02,6.458960573476701938e+01,2.716093189964157659e+02
1.164210526315789451e+02,1.768267543859649038e+02,6.423036649214660088e+01,2.715567190226875596e+02
1.163872387238723718e+02,1.768833883388338677e+02,6.420138888888888573e+01,2.714895833333333144e+02
1.163537414965986443e+02,1.767233560090702724e+02,6.428810720268006662e+01,2.712864321608039972e+02
1.160542635658914605e+02,1.771594684385381981e+02,6.424054982817868620e+01,2.713470790378006541e+02
1.158953356086461781e+02,1.777576791808873793e+02,6.437192982456140555e+01,2.708070175438596152e+02
1.159833333333333343e+02,1.778811111111110961e+02,6.438632478632477785e+01,2.708769230769230489e+02
1.161871539313399637e+02,1.782912513842746307e+02,6.439175257731959334e+01,2.708951890034364283e+02
1.164523809523809490e+02,1.788560090702947889e+02,6.439175257731959334e+01,2.708951890034364283e+02
1.168680089485458495e+02,1.792997762863534490e+02,6.432286212914485191e+01,2.709755671902268546e+02
1.174077777777777669e+02,1.795388888888888914e+02,6.428648648648648134e+01,2.713387387387386980e+02
1.180319031903190279e+02,1.796798679867986834e+02,6.402177554438860341e+01,2.715829145728642970e+02
1.184777070063694282e+02,1.796348195329086934e+02,6.402177554438860341e+01,2.715829145728642970e+02
1.186811594202898448e+02,1.797279821627647607e+02,6.408737864077670565e+01,2.714644012944983729e+02
1.188376906318082575e+02,1.795958605664487777e+02,6.423958333333332860e+01,2.711909722222222285e+02
1.189140534262485289e+02,1.802857142857142776e+02,6.416838487972508176e+01,2.710068728522336414e+02
1.189896193771626258e+02,1.800126874279123399e+02,6.406837606837606813e+01,2.704871794871795032e+02
1.184062165058949461e+02,1.803719185423365445e+02,6.390780141843971052e+01,2.705390070921985739e+02
1.175973597359735976e+02,1.811815181518151689e+02,6.384656084656084829e+01,2.702275132275132137e+02
1.176435643564356468e+02,1.806138613861386091e+02,6.383769633507853314e+01,2.700000000000000000e+02
1.173171296296296191e+02,1.808703703703703525e+02,6.363451776649745995e+01,2.700236886632825417e+02
1.173251173708920021e+02,1.809483568075117148e+02,6.361929824561403279e+01,2.697140350877193100e+02
1.171154761904761727e+02,1.813976190476190311e+02,6.357118055555555003e+01,2.697847222222222285e+02
1.170615563298489974e+02,1.816515679442508713e+02,6.366842105263157947e+01,2.696596491228069681e+02
1.173411111111110898e+02,1.815244444444444412e+02,6.339068100358422697e+01,2.697114695340501385e+02
1.173856209150326748e+02,1.819422657952069642e+02,6.372695035460992585e+01,2.694007092198581290e+02
1.174776632302405517e+02,1.824707903780068818e+02,6.378623188405796895e+01,2.692572463768115654e+02
1.177546948356807377e+02,1.823603286384976343e+02,6.378623188405796895e+01,2.692572463768115654e+02
1.183129943502824659e+02,1.822813559322033825e+02,6.378637200736647372e+01,2.691988950276243031e+02
1.185405701754385746e+02,1.827620614035087669e+02,6.376909722222222143e+01,2.692465277777777715e+02
1.188720538720538684e+02,1.834747474747474882e+02,6.420034542314334658e+01,2.689654576856648873e+02
1.189876543209876445e+02,1.839562289562289550e+02,6.456683587140439329e+01,2.686260575296108186e+02
1.194232987312571908e+02,1.839504036908881233e+02,6.436474694589877288e+01,2.687452006980802821e+02
1.195753262158956005e+02,1.842669039145907561e+02,6.459239130434782794e+01,2.685525362318840621e+02
1.201882613510520343e+02,1.835913621262458548e+02,6.497359735973597594e+01,2.681551155115511165e+02
1.199908987485779193e+02,1.843742889647326422e+02,6.491843971631205079e+01,2.678528368794325729e+02
1.195351787773932983e+02,1.847647058823529278e+02,6.464921465968586745e+01,2.676474694589877572e+02
1.192853957636566236e+02,1.848350055741360052e+02,6.451086956521739069e+01,2.674148550724637516e+02
1.191391694725027861e+02,1.845005611672278292e+02,6.428257191201353749e+01,2.669627749576987981e+02
1.186839677047289427e+02,1.848166089965397987e+02,6.419343696027632973e+01,2.669188255613125875e+02
1.182653061224489761e+02,1.851678004535147295e+02,6.400354609929077299e+01,2.667996453900709071e+02
1.180303030303030170e+02,1.853822843822843538e+02,6.383687943262410869e+01,2.665709219858155734e+02
1.180658036677453993e+02,1.856181229773462746e+02,6.383687943262410869e+01,2.665709219858155734e+02
1.181507150715071361e+02,1.858745874587458786e+02,6.383687943262410869e+01,2.665709219858155734e+02
1.184401858304297122e+02,1.860557491289198708e+02,6.383687943262410869e+01,2.665709219858155734e+02
1.188136924803591370e+02,1.859393939393939377e+02,6.382646048109965164e+01,2.667319587628866202e+02
1.190023068050749657e+02,1.864256055363321707e+02,6.386528497409326377e+01,2.666925734024179633e+02
1.193796296296296191e+02,1.866550925925925810e+02,6.386528497409326377e+01,2.666925734024179633e+02
1.196396396396396256e+02,1.870765765765765707e+02,6.386528497409326377e+01,2.666925734024179633e+02
1.199242937853107236e+02,1.872881355932203462e+02,6.390277777777777146e+01,2.666562500000000000e+02
1.200102739726027465e+02,1.881461187214611925e+02,6.405291005291005035e+01,2.669294532627865806e+02
1.205340022296543907e+02,1.876098104793756818e+02,6.414261168384879852e+01,2.669037800687285085e+02
1.211150922909880450e+02,1.875874049945711022e+02,6.421043771043770221e+01,2.669259259259259238e+02
1.214657210401891092e+02,1.877139479905437156e+02,6.436923076923076792e+01,2.670700854700854734e+02
1.221811111111110932e+02,1.872211111111110995e+02,6.436666666666666003e+01,2.671750000000000114e+02
1.222686403508771917e+02,1.879824561403508767e+02,6.487640449438202950e+01,2.668895131086142101e+02
1.223224400871459636e+02,1.889128540305010802e+02,6.473721340388006240e+01,2.667954144620811121e+02
1.223071038251366076e+02,1.889245901639344254e+02,6.466486486486486740e+01,2.668936936936936490e+02
1.221569892473118131e+02,1.895494623655913813e+02,6.466486486486486740e+01,2.668936936936936490e+02
1.220075026795283861e+02,1.894040728831725460e+02,6.466486486486486740e+01,2.668936936936936490e+02
1.221063596491227941e+02,1.899067982456140271e+02,6.434912280701753673e+01,2.667228070175438575e+02
1.221706758304696336e+02,1.903917525773195791e+02,6.423684210526316463e+01,2.666578947368420813e+02
1.223087248322147644e+02,1.903702460850111606e+02,6.420833333333332860e+01,2.666406250000000000e+02
1.228469387755102105e+02,1.914104308390022595e+02,6.420833333333332860e+01,2.666406250000000000e+02
1.235537459283387562e+02,1.922703583061889390e+02,6.448691099476440058e+01,2.670610820244327783e+02
1.245016286644951151e+02,1.927535287730727305e+02,6.465760869565217206e+01,2.671431159420289418e+02
1.255394736842105203e+02,1.938936403508771775e+02,6.524398625429552112e+01,2.671340206185566899e+02
1.264548387096774178e+02,1.942118279569892536e+02,6.526903553299491989e+01,2.671489001692046941e+02
1.276020066889632147e+02,1.953913043478260931e+02,6.538888888888888573e+01,2.671041666666666856e+02
1.286722972972972912e+02,1.960461711711711530e+02,6.538888888888888573e+01,2.671041666666666856e+02
