# x1,y1,x2,y2
1.622386091127098098e+02,8.044484412470022505e+01,1.200942760942760970e+02,7.183726150392816123e+01
1.617316784869976232e+02,7.932151300236405689e+01,1.191713947990543545e+02,7.122222222222221433e+01
1.609965635738831509e+02,7.769072164948453008e+01,1.187179487179487154e+02,7.075919732441471410e+01
1.603827586206896569e+02,7.649540229885056419e+01,1.180454002389486163e+02,7.036798088410991170e+01
1.598885172798216274e+02,7.538127090301003363e+01,1.167163120567375927e+02,7.035815602836879634e+01
1.594349881796690340e+02,7.431442080378249671e+01,1.158795321637426810e+02,7.032982456140351246e+01
1.592685851318944685e+02,7.387649880095922583e+01,1.158603286384976343e+02,7.042840375586852986e+01
1.588683574879227081e+02,7.244806763285023976e+01,1.147482517482517466e+02,7.027505827505827085e+01
1.588451053283766896e+02,7.155018587360595461e+01,1.148333333333333286e+02,7.029050925925925242e+01
1.587153284671532845e+02,7.038442822384428155e+01,1.132775842044134578e+02,7.025900116144018170e+01
1.584476885644768629e+02,6.916666666666665719e+01,1.134013605442176811e+02,7.013945578231292188e+01
1.583990442054958123e+02,6.851971326164874654e+01,1.121111111111111143e+02,6.965972222222222854e+01
1.582750929368029631e+02,6.781784386617100324e+01,1.108936170212765973e+02,6.959101654846334384e+01
1.578757259001161231e+02,6.684436701509871170e+01,1.098640192539109393e+02,6.966907340553549943e+01
1.577435897435897516e+02,6.664957264957264726e+01,1.081447212336891965e+02,6.964887307236061531e+01
1.573009950248756184e+02,6.589054726368158299e+01,1.070059311981020045e+02,6.963819691577698734e+01
1.565596555965559560e+02,6.472693726937269787e+01,1.058107448107448079e+02,6.971550671550670586e+01
1.558724428399518445e+02,6.380144404332129682e+01,1.041763990267639883e+02,6.972506082725060139e+01
1.552002534854245823e+02,6.287072243346007383e+01,1.029938499384993804e+02,6.976137761377613344e+01
1.541754385964912046e+02,6.154251012145748945e+01,1.015115151515151410e+02,6.979636363636363683e+01
1.538396464646464494e+02,6.136237373737373701e+01,1.000602706027060265e+02,6.978966789667896364e+01
1.531540312876052781e+02,6.065342960288808882e+01,9.874463276836156922e+01,6.962485875706214244e+01
1.526760895170789070e+02,6.017432273262661369e+01,9.772516556291390089e+01,6.954746136865341555e+01
1.521679104477611872e+02,5.958706467661691164e+01,9.703870967741934805e+01,6.957526881720430367e+01
1.516727941176470722e+02,5.856127450980392268e+01,9.523456790123455562e+01,6.950617283950616354e+01
1.516285362853628271e+02,5.838376383763837651e+01,9.419932432432432279e+01,6.953603603603602323e+01
1.518510378510378303e+02,5.838095238095237960e+01,9.395035460992907872e+01,6.965484633569738548e+01
1.518088235294117680e+02,5.783333333333332860e+01,9.339331026528257951e+01,6.977393310265281912e+01
1.520735294117646959e+02,5.788480392156862564e+01,9.343918918918919303e+01,6.971621621621621046e+01
1.521158900836319958e+02,5.688172043010752787e+01,9.250734463276835129e+01,6.972768361581920260e+01
1.520786384976525767e+02,5.643896713615023231e+01,9.234909909909909231e+01,6.972635135135135442e+01
1.523482758620689594e+02,5.607011494252873263e+01,9.170804597701149419e+01,6.971494252873563369e+01
1.520295508274231508e+02,5.550827423167848451e+01,9.095729537366547390e+01,6.951245551601422790e+01
1.517892325315005735e+02,5.489003436426116878e+01,9.044795321637425900e+01,6.898011695906431839e+01
1.511909845788849225e+02,5.431198102016607265e+01,8.968957617411224703e+01,6.861053837342495854e+01
1.504289127837514854e+02,5.353405017921146936e+01,8.958503401360543705e+01,6.858616780045350936e+01
