sample,assay,total_seconds,success_count,frame_count,prop_success
20190616_1256_icab_kaga_L_q3,novel_object,600,17120,18000,0.9511111111111111
20190616_0948_icab_hdr_L_q4,open_field,600,17121,18000,0.9511666666666667
20190613_1617_icab_ho5_L_q2,open_field,600,17140,18000,0.9522222222222222
20190612_1355_icab_ho5_R_q4,open_field,600,17159,18000,0.9532777777777778
20190616_1417_icab_hni_L_q4,open_field,600,17161,18000,0.9533888888888888
20190613_1338_icab_ho5_R_q2,novel_object,600,17194,18000,0.9552222222222222
20190614_1553_icab_hni_L_q3,open_field,600,17194,18000,0.9552222222222222
20190616_0923_icab_icab_L_q1,open_field,600,17222,18000,0.9567777777777777
20190615_1210_icab_ho5_R_q1,open_field,600,17241,18000,0.9578333333333333
20190616_1622_icab_ho5_L_q1,open_field,600,17242,18000,0.9578888888888889
20190614_1208_icab_icab_L_q3,open_field,600,17249,18000,0.9582777777777778
20190616_1017_icab_kaga_R_q3,novel_object,600,17257,18000,0.9587222222222223
20190616_1506_icab_hni_L_q3,open_field,600,17259,18000,0.9588333333333333
20190616_1531_icab_hdr_L_q3,novel_object,600,17269,18000,0.9593888888888888
20190614_1237_icab_hdr_L_q2,novel_object,600,17272,18000,0.9595555555555556
20190612_1326_icab_kaga_R_q2,open_field,600,16698,17400,0.9596551724137931
20190616_1556_icab_hdr_L_q3,open_field,600,17288,18000,0.9604444444444444
20190616_1651_icab_icab_L_q1,open_field,600,17299,18000,0.9610555555555556
20190615_1332_icab_icab_L_q3,open_field,600,17304,18000,0.9613333333333334
20190613_1511_icab_hdr_L_q2,open_field,600,17321,18000,0.9622777777777778
20190615_1358_icab_icab_L_q4,open_field,600,17322,18000,0.9623333333333334
20190615_1305_icab_ho5_R_q4,open_field,600,17323,18000,0.9623888888888888
20190615_1210_icab_ho5_R_q3,novel_object,600,17338,18000,0.9632222222222222
20190615_1714_icab_icab_L_q4,open_field,600,17339,18000,0.9632777777777778
20190612_1534_icab_hdr_R_q3,open_field,600,17345,18000,0.9636111111111111
20190615_1236_icab_hdr_R_q2,open_field,600,17354,18000,0.9641111111111111
20190613_1546_icab_hni_R_q1,novel_object,600,17362,18000,0.9645555555555556
20190614_1307_icab_hdr_R_q4,novel_object,600,17372,18000,0.9651111111111111
20190616_1417_icab_hni_L_q3,open_field,600,17374,18000,0.9652222222222222
20190615_1452_icab_hdr_L_q2,open_field,600,17382,18000,0.9656666666666667
20190612_1707_icab_hni_R_q2,open_field,600,17387,18000,0.9659444444444445
20190616_1506_icab_hni_L_q4,open_field,600,17388,18000,0.966
20190616_0923_icab_icab_L_q2,novel_object,600,17397,18000,0.9665
20190612_1534_icab_hdr_R_q1,novel_object,600,17398,18000,0.9665555555555555
20190616_1045_icab_icab_L_q1,novel_object,600,17405,18000,0.9669444444444445
20190614_1237_icab_hdr_L_q3,novel_object,600,17410,18000,0.9672222222222222
20190615_1518_icab_kaga_L_q2,novel_object,600,17412,18000,0.9673333333333334
20190613_1338_icab_ho5_R_q4,novel_object,600,17416,18000,0.9675555555555555
20190614_1307_icab_hdr_R_q4,open_field,600,17417,18000,0.9676111111111111
20190613_1054_icab_hdr_R_q2,open_field,600,17418,18000,0.9676666666666667
20190616_1622_icab_ho5_L_q4,novel_object,600,17424,18000,0.968
20190612_1425_icab_kaga_R_q4,novel_object,600,17453,18000,0.9696111111111111
20190614_1139_icab_hni_R_q1,open_field,600,17457,18000,0.9698333333333333
20190615_1714_icab_icab_L_q2,open_field,600,17478,18000,0.971
20190613_1338_icab_ho5_R_q3,novel_object,600,17485,18000,0.9713888888888889
20190614_1430_icab_hdr_L_q2,open_field,600,17486,18000,0.9714444444444444
20190615_1117_icab_kaga_L_q4,open_field,598.4,17440,17952,0.9714795008912656
20190614_1139_icab_hni_R_q4,novel_object,600,17488,18000,0.9715555555555555
20190616_1325_icab_hni_R_q4,novel_object,600,17491,18000,0.9717222222222223
20190613_1338_icab_ho5_R_q3,open_field,600,17493,18000,0.9718333333333333
20190614_1456_icab_ho5_R_q2,open_field,600,17495,18000,0.9719444444444445
20190615_1236_icab_hdr_R_q4,open_field,600,17495,18000,0.9719444444444445
20190614_1644_icab_hni_L_q1,open_field,600,17496,18000,0.972
20190612_1534_icab_hdr_R_q4,novel_object,600,17500,18000,0.9722222222222222
20190615_1518_icab_kaga_L_q1,novel_object,600,17514,18000,0.973
20190613_1617_icab_ho5_L_q1,novel_object,600,17517,18000,0.9731666666666666
20190615_1423_icab_icab_L_q3,open_field,600,17523,18000,0.9735
20190615_1022_icab_ho5_L_q2,novel_object,600,17527,18000,0.9737222222222223
20190616_0923_icab_icab_L_q2,open_field,600,17532,18000,0.974
20190615_1210_icab_ho5_R_q2,novel_object,600,17546,18000,0.9747777777777777
20190616_1135_icab_kaga_R_q2,open_field,600,17550,18000,0.975
20190616_1417_icab_hni_L_q2,open_field,600,17555,18000,0.9752777777777778
20190613_1307_icab_hdr_R_q4,open_field,600,17558,18000,0.9754444444444444
20190615_1649_icab_icab_L_q4,open_field,600,17561,18000,0.9756111111111111
20190615_1305_icab_ho5_R_q4,novel_object,600,17562,18000,0.9756666666666667
20190615_1616_icab_hni_L_q3,open_field,600,17562,18000,0.9756666666666667
20190613_1126_icab_hdr_R_q1,open_field,600,17575,18000,0.9763888888888889
20190615_1117_icab_kaga_L_q2,novel_object,600,17578,18000,0.9765555555555555
20190615_1423_icab_icab_L_q4,open_field,600,17584,18000,0.9768888888888889
20190615_1616_icab_hni_L_q4,open_field,600,17591,18000,0.9772777777777778
20190615_1051_icab_hdr_L_q4,open_field,600,17592,18000,0.9773333333333334
20190615_1452_icab_hdr_L_q1,novel_object,600,17592,18000,0.9773333333333334
20190614_1335_icab_ho5_L_q4,novel_object,600,17594,18000,0.9774444444444444
20190616_1045_icab_icab_L_q4,novel_object,600,17597,18000,0.9776111111111111
20190615_1358_icab_icab_L_q4,novel_object,600,17600,18000,0.9777777777777777
20190614_1307_icab_hdr_R_q1,open_field,600,17605,18000,0.9780555555555556
20190613_1024_icab_hni_R_q2,open_field,600,17608,18000,0.9782222222222222
20190615_1649_icab_icab_L_q3,novel_object,600,17611,18000,0.9783888888888889
20190613_1126_icab_hdr_R_q1,novel_object,600,17616,18000,0.9786666666666667
20190612_1501_icab_icab_R_q1,novel_object,600,17621,18000,0.9789444444444444
20190616_1227_icab_kaga_R_q1,open_field,600,17622,18000,0.979
20190612_1326_icab_kaga_R_q1,novel_object,600,17035,17400,0.9790229885057471
20190612_1604_icab_hni_R_q1,open_field,600,17623,18000,0.9790555555555556
20190611_1658_icab_ho5_R_q3,novel_object,600,17624,18000,0.9791111111111112
