assay,sample,quadrant,wid,hei,n_frames
novel_object,20190613_1307_icab_hdr_R,q4,346,356,18000
novel_object,20190613_1338_icab_ho5_R,q1,346,356,18000
novel_object,20190613_1338_icab_ho5_R,q2,360,356,18000
novel_object,20190613_1338_icab_ho5_R,q3,360,348,18000
novel_object,20190613_1338_icab_ho5_R,q4,346,348,18000
novel_object,20190613_1420_icab_hni_R,q1,342,352,18000
novel_object,20190613_1420_icab_hni_R,q2,364,352,18000
novel_object,20190613_1420_icab_hni_R,q3,364,352,18000
novel_object,20190613_1420_icab_hni_R,q4,342,352,18000
novel_object,20190613_1511_icab_hdr_L,q1,360,352,18000
novel_object,20190613_1511_icab_hdr_L,q2,346,352,18000
novel_object,20190613_1511_icab_hdr_L,q3,346,352,18000
novel_object,20190613_1511_icab_hdr_L,q4,360,352,18000
novel_object,20190613_1546_icab_hni_R,q1,346,354,18000
novel_object,20190613_1546_icab_hni_R,q2,360,354,18000
novel_object,20190613_1546_icab_hni_R,q3,360,350,18000
novel_object,20190613_1546_icab_hni_R,q4,346,350,18000
novel_object,20190613_1617_icab_ho5_L,q1,360,352,18000
novel_object,20190613_1617_icab_ho5_L,q2,346,352,18000
novel_object,20190613_1617_icab_ho5_L,q3,346,352,18000
novel_object,20190613_1617_icab_ho5_L,q4,360,352,18000
novel_object,20190613_1648_icab_ho5_R,q1,346,352,18000
novel_object,20190613_1648_icab_ho5_R,q2,360,352,18000
novel_object,20190613_1648_icab_ho5_R,q3,360,352,18000
novel_object,20190613_1648_icab_ho5_R,q4,346,352,18000
novel_object,20190614_1108_icab_ho5_L,q1,354,356,18000
novel_object,20190614_1108_icab_ho5_L,q2,352,356,18000
novel_object,20190614_1108_icab_ho5_L,q3,352,348,18000
novel_object,20190614_1108_icab_ho5_L,q4,354,348,18000
novel_object,20190614_1139_icab_hni_R,q1,344,356,18000
novel_object,20190614_1139_icab_hni_R,q2,362,356,18000
novel_object,20190614_1139_icab_hni_R,q3,362,348,18000
novel_object,20190614_1139_icab_hni_R,q4,344,348,18000
novel_object,20190614_1208_icab_icab_L,q1,358,354,18000
novel_object,20190614_1208_icab_icab_L,q2,348,354,18000
novel_object,20190614_1208_icab_icab_L,q3,348,350,18000
novel_object,20190614_1208_icab_icab_L,q4,358,350,18000
novel_object,20190614_1237_icab_hdr_L,q1,354,352,18000
novel_object,20190614_1237_icab_hdr_L,q2,352,352,18000
novel_object,20190614_1237_icab_hdr_L,q3,352,352,18000
novel_object,20190614_1237_icab_hdr_L,q4,354,352,18000
novel_object,20190614_1307_icab_hdr_R,q1,350,358,18000
novel_object,20190614_1307_icab_hdr_R,q2,356,358,18000
novel_object,20190614_1307_icab_hdr_R,q3,356,346,18000
novel_object,20190614_1307_icab_hdr_R,q4,350,346,18000
novel_object,20190614_1335_icab_ho5_L,q1,360,354,18000
novel_object,20190614_1335_icab_ho5_L,q2,346,354,18000
novel_object,20190614_1335_icab_ho5_L,q3,346,350,18000
novel_object,20190614_1335_icab_ho5_L,q4,360,350,18000
novel_object,20190614_1404_icab_ho5_L,q1,352,358,18000
novel_object,20190614_1404_icab_ho5_L,q2,354,358,18000
novel_object,20190614_1404_icab_ho5_L,q3,354,346,18000
novel_object,20190614_1404_icab_ho5_L,q4,352,346,18000
novel_object,20190614_1430_icab_hdr_L,q1,358,354,18000
novel_object,20190614_1430_icab_hdr_L,q2,348,354,18000
novel_object,20190614_1430_icab_hdr_L,q3,348,350,18000
novel_object,20190614_1430_icab_hdr_L,q4,358,350,18000
novel_object,20190614_1456_icab_ho5_R,q1,344,350,18000
novel_object,20190614_1456_icab_ho5_R,q2,362,350,18000
novel_object,20190614_1456_icab_ho5_R,q3,362,354,18000
novel_object,20190614_1456_icab_ho5_R,q4,344,354,18000
novel_object,20190614_1524_icab_icab_R,q1,346,350,18000
novel_object,20190614_1524_icab_icab_R,q2,360,350,18000
novel_object,20190614_1524_icab_icab_R,q3,360,354,18000
novel_object,20190614_1524_icab_icab_R,q4,346,354,18000
novel_object,20190614_1553_icab_hni_L,q1,354,358,18000
novel_object,20190614_1553_icab_hni_L,q2,352,358,18000
novel_object,20190614_1553_icab_hni_L,q3,352,346,18000
novel_object,20190614_1553_icab_hni_L,q4,354,346,18000
novel_object,20190614_1619_icab_kaga_L,q1,354,356,18000
novel_object,20190614_1619_icab_kaga_L,q2,352,356,18000
novel_object,20190614_1619_icab_kaga_L,q3,352,348,18000
novel_object,20190614_1619_icab_kaga_L,q4,354,348,18000
novel_object,20190614_1644_icab_hni_L,q1,360,360,18000
novel_object,20190614_1644_icab_hni_L,q2,346,360,18000
novel_object,20190614_1644_icab_hni_L,q3,346,344,18000
novel_object,20190614_1644_icab_hni_L,q4,360,344,18000
novel_object,20190615_1022_icab_ho5_L,q1,360,354,18000
